{'profileIconId': 505, 'summonerLevel': 30, 'revisionDate': 1416205629000L, 'id': 2380, 'name': 'Tassenix'} 'mostUsedChampion': Tristana 
{'profileIconId': 504, 'summonerLevel': 30, 'revisionDate': 1416168995000L, 'id': 7995, 'name': 'Synyster'} 'mostUsedChampion': Varus 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1415786830000L, 'id': 2734, 'name': 'bechtol449'} 'mostUsedChampion': Varus 
{'profileIconId': 712, 'summonerLevel': 30, 'revisionDate': 1416229436000L, 'id': 1112, 'name': 'myself'} 'mostUsedChampion': Varus 
{'profileIconId': 657, 'summonerLevel': 30, 'revisionDate': 1416171725000L, 'id': 7013, 'name': 'Aito'} 'mostUsedChampion': Varus 
{'profileIconId': 693, 'summonerLevel': 30, 'revisionDate': 1416222250000L, 'id': 42680, 'name': 'Fulgore007'} 'mostUsedChampion': Varus 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1401480559000L, 'id': 37210, 'name': 'Fenix257'} 'mostUsedChampion': Varus 
{'profileIconId': 558, 'summonerLevel': 30, 'revisionDate': 1415456974000L, 'id': 2234, 'name': 'Jpeg'} 'mostUsedChampion': Varus 
{'profileIconId': 22, 'summonerLevel': 30, 'revisionDate': 1415745649000L, 'id': 4747, 'name': 'Rayzor'} 'mostUsedChampion': Varus 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1415849090000L, 'id': 3467, 'name': 'Casual Friday'} 'mostUsedChampion': Varus 
{'profileIconId': 688, 'summonerLevel': 30, 'revisionDate': 1416174500000L, 'id': 2607, 'name': 'Blitzcrunk'} 'mostUsedChampion': Varus 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416218529000L, 'id': 9986, 'name': 'DivineOwnage'} 'mostUsedChampion': Varus 
{'profileIconId': 19, 'summonerLevel': 30, 'revisionDate': 1415991458000L, 'id': 2076, 'name': 'zorbocop'} 'mostUsedChampion': Varus 
{'profileIconId': 717, 'summonerLevel': 30, 'revisionDate': 1415992231000L, 'id': 3539, 'name': 'Ezul'} 'mostUsedChampion': Varus 
{'profileIconId': 725, 'summonerLevel': 30, 'revisionDate': 1416192358000L, 'id': 597994, 'name': 'Minotaur556'} 'mostUsedChampion': Varus 
{'profileIconId': 502, 'summonerLevel': 30, 'revisionDate': 1416191518000L, 'id': 5326, 'name': 'snipun'} 'mostUsedChampion': Varus 
{'profileIconId': 677, 'summonerLevel': 30, 'revisionDate': 1416216589000L, 'id': 92068, 'name': 'Taxicrab'} 'mostUsedChampion': Varus 
{'profileIconId': 666, 'summonerLevel': 30, 'revisionDate': 1416170560000L, 'id': 6021, 'name': 'Arkanis'} 'mostUsedChampion': Varus 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1416043322000L, 'id': 91925, 'name': 'Silmaril'} 'mostUsedChampion': Varus 
{'profileIconId': 687, 'summonerLevel': 30, 'revisionDate': 1416130828000L, 'id': 7108, 'name': 'Nehemoth'} 'mostUsedChampion': Varus 
{'profileIconId': 661, 'summonerLevel': 30, 'revisionDate': 1412032431000L, 'id': 65335, 'name': 'Logie'} 'mostUsedChampion': Varus 
{'profileIconId': 717, 'summonerLevel': 30, 'revisionDate': 1416073190000L, 'id': 1706, 'name': 'allistrom'} 'mostUsedChampion': Varus 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1390120954000L, 'id': 4682, 'name': 'kabob83'} 'mostUsedChampion': Varus 
{'profileIconId': 715, 'summonerLevel': 30, 'revisionDate': 1415856530000L, 'id': 14926, 'name': 'Turbo'} 'mostUsedChampion': Varus 
{'profileIconId': 3, 'summonerLevel': 30, 'revisionDate': 1413546758000L, 'id': 33798, 'name': 'smoothietime'} 'mostUsedChampion': Varus 
{'profileIconId': 665, 'summonerLevel': 30, 'revisionDate': 1412395012000L, 'id': 1827, 'name': 'Patrik'} 'mostUsedChampion': Varus 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1416025019000L, 'id': 3512, 'name': 'Adobe'} 'mostUsedChampion': Varus 
{'profileIconId': 579, 'summonerLevel': 30, 'revisionDate': 1416146479000L, 'id': 189758, 'name': 'zabuzaa'} 'mostUsedChampion': Varus 
{'profileIconId': 544, 'summonerLevel': 30, 'revisionDate': 1415690511000L, 'id': 9534, 'name': 'Deathstyle'} 'mostUsedChampion': Varus 
{'profileIconId': 579, 'summonerLevel': 30, 'revisionDate': 1415597331000L, 'id': 74052, 'name': 'jaffy'} 'mostUsedChampion': Varus 
{'profileIconId': 7, 'summonerLevel': 30, 'revisionDate': 1415087323000L, 'id': 33895, 'name': 'azsxder'} 'mostUsedChampion': Varus 
{'profileIconId': 16, 'summonerLevel': 30, 'revisionDate': 1416218374000L, 'id': 75976, 'name': 'GreatWeelo'} 'mostUsedChampion': Varus 
{'profileIconId': 579, 'summonerLevel': 30, 'revisionDate': 1416191880000L, 'id': 19632, 'name': 'Kenshue'} 'mostUsedChampion': Varus 
{'profileIconId': 709, 'summonerLevel': 30, 'revisionDate': 1416033057000L, 'id': 53938, 'name': 'thejman719'} 'mostUsedChampion': Varus 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1415422370000L, 'id': 76139, 'name': 'Busuzima'} 'mostUsedChampion': Varus 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1416103019000L, 'id': 38449, 'name': 'XiuXi'} 'mostUsedChampion': Varus 
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1415930158000L, 'id': 6831, 'name': 'Kipacky'} 'mostUsedChampion': Varus 
{'profileIconId': 605, 'summonerLevel': 30, 'revisionDate': 1413155101000L, 'id': 98951, 'name': 'JackRandom'} 'mostUsedChampion': Varus 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1413058686000L, 'id': 6709, 'name': 'RedMaple'} 'mostUsedChampion': Varus 
{'profileIconId': 663, 'summonerLevel': 30, 'revisionDate': 1405018156000L, 'id': 2397, 'name': 'Akrazo'} 'mostUsedChampion': Varus 
{'profileIconId': 507, 'summonerLevel': 30, 'revisionDate': 1416198907000L, 'id': 71722, 'name': 'Itszuvalex'} 'mostUsedChampion': Varus 
{'profileIconId': 718, 'summonerLevel': 30, 'revisionDate': 1416202937000L, 'id': 39683, 'name': 'Snarky'} 'mostUsedChampion': Varus 
{'profileIconId': 709, 'summonerLevel': 30, 'revisionDate': 1415944312000L, 'id': 74112, 'name': 'MtMan'} 'mostUsedChampion': Varus 
{'profileIconId': 627, 'summonerLevel': 30, 'revisionDate': 1414819545000L, 'id': 57802, 'name': 'Dyca'} 'mostUsedChampion': Varus 
{'profileIconId': 26, 'summonerLevel': 30, 'revisionDate': 1413691241000L, 'id': 3626, 'name': 'screamapillar'} 'mostUsedChampion': Varus 
{'profileIconId': 22, 'summonerLevel': 30, 'revisionDate': 1416197572000L, 'id': 5335, 'name': 'The Black Fog'} 'mostUsedChampion': Varus 
{'profileIconId': 711, 'summonerLevel': 30, 'revisionDate': 1415856033000L, 'id': 304479, 'name': 'Dmc3321'} 'mostUsedChampion': Varus 
{'profileIconId': 607, 'summonerLevel': 30, 'revisionDate': 1416085248000L, 'id': 41849, 'name': 'givenugahug'} 'mostUsedChampion': Varus 
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1416095134000L, 'id': 587801, 'name': 'DreamingOfTheSky'} 'mostUsedChampion': Varus 
{'profileIconId': 658, 'summonerLevel': 30, 'revisionDate': 1416178277000L, 'id': 155985, 'name': 'Spintar'} 'mostUsedChampion': Varus 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1415798897000L, 'id': 4887, 'name': 'Lockys'} 'mostUsedChampion': Varus 
{'profileIconId': 508, 'summonerLevel': 30, 'revisionDate': 1402511882000L, 'id': 77962, 'name': 'Zero Maverick'} 'mostUsedChampion': Varus 
{'profileIconId': 552, 'summonerLevel': 30, 'revisionDate': 1415859935000L, 'id': 464542, 'name': 'SU RageofTiamat'} 'mostUsedChampion': Varus 
{'profileIconId': 16, 'summonerLevel': 30, 'revisionDate': 1415694967000L, 'id': 399425, 'name': 'vegakuro'} 'mostUsedChampion': Varus 
{'profileIconId': 547, 'summonerLevel': 30, 'revisionDate': 1410741424000L, 'id': 37601, 'name': 'Snapplemonkey'} 'mostUsedChampion': Varus 
{'profileIconId': 688, 'summonerLevel': 30, 'revisionDate': 1416195480000L, 'id': 96965, 'name': 'Jqua'} 'mostUsedChampion': Varus 
{'profileIconId': 512, 'summonerLevel': 30, 'revisionDate': 1416177756000L, 'id': 1828, 'name': 'NickLovin'} 'mostUsedChampion': Varus 
{'profileIconId': 665, 'summonerLevel': 30, 'revisionDate': 1405451278000L, 'id': 9672, 'name': 'Trick2Rick'} 'mostUsedChampion': Varus 
{'profileIconId': 18, 'summonerLevel': 30, 'revisionDate': 1416188011000L, 'id': 49165, 'name': 'cuco'} 'mostUsedChampion': Varus 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1415850134000L, 'id': 7758, 'name': 'MadnessHero'} 'mostUsedChampion': Varus 
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1411092244000L, 'id': 1926, 'name': 'Nosaj'} 'mostUsedChampion': Varus
