{'profileIconId': 508, 'summonerLevel': 30, 'revisionDate': 1402511882000L, 'id': 77962, 'name': 'Zero Maverick'} 'mostUsedChampion': Varus
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1410544857000L, 'id': 2260, 'name': 'Peetch'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 22, 'summonerLevel': 30, 'revisionDate': 1415131995000L, 'id': 2588, 'name': 'Chiklay'} 'mostUsedChampion': Amumu
 {'profileIconId': 508, 'summonerLevel': 30, 'revisionDate': 1409271457000L, 'id': 1850, 'name': 'Ethernal'} 'mostUsedChampion': Riven
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1416201200000L, 'id': 37804, 'name': 'Bassethound'} 'mostUsedChampion': Sona
{'profileIconId': 20, 'summonerLevel': 30, 'revisionDate': 1407909081000L, 'id': 4877, 'name': 'Lord Shifty Sands'} 'mostUsedChampion': Volibear
{'profileIconId': 6, 'summonerLevel': 30, 'revisionDate': 1414741595000L, 'id': 2573, 'name': 'Zyloch'} 'mostUsedChampion': Jinx 
{'profileIconId': 607, 'summonerLevel': 30, 'revisionDate': 1413447420000L, 'id': 410683, 'name': 'Nasss'} 'mostUsedChampion': Jinx 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1407616572000L, 'id': 5276, 'name': 'Morpheus'} 'mostUsedChampion': Talon
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1414638955000L, 'id': 4277, 'name': 'Chubbs'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 18, 'summonerLevel': 30, 'revisionDate': 1414885721000L, 'id': 76296, 'name': 'Rastaphari'} 'mostUsedChampion': DrMundo
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1412750852000L, 'id': 4024, 'name': 'Poopybuns'} 'mostUsedChampion': Jinx 
{'profileIconId': 557, 'summonerLevel': 30, 'revisionDate': 1414081455000L, 'id': 14962, 'name': 'Art F0rm'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 627, 'summonerLevel': 30, 'revisionDate': 1414819545000L, 'id': 57802, 'name': 'Dyca'} 'mostUsedChampion': Varus
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1414117895000L, 'id': 234387, 'name': 'Brohemoth'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 709, 'summonerLevel': 30, 'revisionDate': 1414630879000L, 'id': 8422, 'name': 'NoSnitchin'} 'mostUsedChampion': Jinx 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1411694518000L, 'id': 7118, 'name': 'psychoguy817'} 'mostUsedChampion': Riven
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1416167622000L, 'id': 60976, 'name': 'Sha0z'} 'mostUsedChampion': Riven
{'profileIconId': 547, 'summonerLevel': 30, 'revisionDate': 1410741424000L, 'id': 37601, 'name': 'Snapplemonkey'} 'mostUsedChampion': Varus
{'profileIconId': 582, 'summonerLevel': 30, 'revisionDate': 1414426086000L, 'id': 9348, 'name': 'Shikuya'} 'mostUsedChampion': Jinx 
{'profileIconId': 710, 'summonerLevel': 30, 'revisionDate': 1414863331000L, 'id': 2552, 'name': 'Bic Boi'} 'mostUsedChampion': Jinx 
{'profileIconId': 665, 'summonerLevel': 30, 'revisionDate': 1405451278000L, 'id': 9672, 'name': 'Trick2Rick'} 'mostUsedChampion': Varus
{'profileIconId': 527, 'summonerLevel': 30, 'revisionDate': 1414302958000L, 'id': 215709, 'name': 'Ryrk'} 'mostUsedChampion': Varus
{'profileIconId': 22, 'summonerLevel': 30, 'revisionDate': 1415745649000L, 'id': 4747, 'name': 'Rayzor'} 'mostUsedChampion': Varus
{'profileIconId': 658, 'summonerLevel': 30, 'revisionDate': 1416178277000L, 'id': 155985, 'name': 'Spintar'} 'mostUsedChampion': Varus
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1414961626000L, 'id': 70003, 'name': 'PandORAAA'} 'mostUsedChampion': Varus
{'profileIconId': 580, 'summonerLevel': 30, 'revisionDate': 1416118820000L, 'id': 70781, 'name': 'Some Scrub'} 'mostUsedChampion': DrMundo
{'profileIconId': 692, 'summonerLevel': 30, 'revisionDate': 1414554965000L, 'id': 16243, 'name': 'Splitz'} 'mostUsedChampion': Jinx 
{'profileIconId': 664, 'summonerLevel': 30, 'revisionDate': 1413106726000L, 'id': 1779, 'name': 'SugoiCholo'} 'mostUsedChampion': Jinx 
{'profileIconId': 505, 'summonerLevel': 30, 'revisionDate': 1416205629000L, 'id': 2380, 'name': 'Tassenix'} 'mostUsedChampion': Tristana
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1411004786000L, 'id': 5421, 'name': 'Heimdal'} 'mostUsedChampion': Riven
 {'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1416204686000L, 'id': 91245, 'name': 'Xandrai'} 'mostUsedChampion': Riven
{'profileIconId': 597, 'summonerLevel': 30, 'revisionDate': 1416158655000L, 'id': 8668, 'name': 'Pray'} 'mostUsedChampion': Riven
{'profileIconId': 544, 'summonerLevel': 30, 'revisionDate': 1415690511000L, 'id': 9534, 'name': 'Deathstyle'} 'mostUsedChampion': Varus
{'profileIconId': 25, 'summonerLevel': 30, 'revisionDate': 1396798574000L, 'id': 37396, 'name': 'Danger'} 'mostUsedChampion': Leona
{'profileIconId': 664, 'summonerLevel': 30, 'revisionDate': 1412398998000L, 'id': 84483, 'name': 'NearDeath'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 605, 'summonerLevel': 30, 'revisionDate': 1413155101000L, 'id': 98951, 'name': 'JackRandom'} 'mostUsedChampion': Varus
 {'profileIconId': 534, 'summonerLevel': 30, 'revisionDate': 1390378612000L, 'id': 8734, 'name': 'Akatosh'} 'mostUsedChampion': Riven
{'profileIconId': 539, 'summonerLevel': 30, 'revisionDate': 1414115319000L, 'id': 246863, 'name': 'Indigo Girls'} 'mostUsedChampion': Jinx 
{'profileIconId': 711, 'summonerLevel': 30, 'revisionDate': 1414466006000L, 'id': 6812, 'name': 'RukeMaker'} 'mostUsedChampion': Jinx 
{'profileIconId': 664, 'summonerLevel': 30, 'revisionDate': 1416193369000L, 'id': 7115, 'name': 'Steve Biski'} 'mostUsedChampion': Amumu
{'profileIconId': 550, 'summonerLevel': 30, 'revisionDate': 1414116918000L, 'id': 8976, 'name': 'TokenAsianGuy'} 'mostUsedChampion': FiddleSticks 
 {'profileIconId': 657, 'summonerLevel': 30, 'revisionDate': 1416205316000L, 'id': 199975, 'name': 'Stryk3r99'} 'mostUsedChampion': Riven
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1416043322000L, 'id': 91925, 'name': 'Silmaril'} 'mostUsedChampion': Varus
{'profileIconId': 507, 'summonerLevel': 30, 'revisionDate': 1397011763000L, 'id': 15876, 'name': 'deviantAJ'} 'mostUsedChampion': DrMundo
{'profileIconId': 8, 'summonerLevel': 30, 'revisionDate': 1414564194000L, 'id': 250006, 'name': 'aslanthe1'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 689, 'summonerLevel': 30, 'revisionDate': 1414382754000L, 'id': 66883, 'name': 'OrangeGeeGee'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 9, 'summonerLevel': 30, 'revisionDate': 1411340123000L, 'id': 8437, 'name': 'ando'} 'mostUsedChampion': Varus
{'profileIconId': 688, 'summonerLevel': 30, 'revisionDate': 1416174500000L, 'id': 2607, 'name': 'Blitzcrunk'} 'mostUsedChampion': Varus
{'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1416216127000L, 'id': 4602, 'name': 'Keith Alan'} 'mostUsedChampion': Varus
{'profileIconId': 688, 'summonerLevel': 30, 'revisionDate': 1416195480000L, 'id': 96965, 'name': 'Jqua'} 'mostUsedChampion': Varus
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1413058686000L, 'id': 6709, 'name': 'RedMaple'} 'mostUsedChampion': Varus
{'profileIconId': 665, 'summonerLevel': 30, 'revisionDate': 1413277343000L, 'id': 88916, 'name': 'Arkadious'} 'mostUsedChampion': Jinx 
{'profileIconId': 689, 'summonerLevel': 30, 'revisionDate': 1414118671000L, 'id': 497940, 'name': 'MrHickoryHam'} 'mostUsedChampion': Varus
{'profileIconId': 27, 'summonerLevel': 30, 'revisionDate': 1411077133000L, 'id': 51589, 'name': 'Coldhearted'} 'mostUsedChampion': DrMundo
{'profileIconId': 533, 'summonerLevel': 30, 'revisionDate': 1391033809000L, 'id': 28712, 'name': 'Asez'} 'mostUsedChampion': Jinx 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1414215653000L, 'id': 86413, 'name': 'erafor'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 564, 'summonerLevel': 30, 'revisionDate': 1414638615000L, 'id': 6525, 'name': 'XxXStalin'} 'mostUsedChampion': Jinx 
{'profileIconId': 673, 'summonerLevel': 30, 'revisionDate': 1413169322000L, 'id': 78204, 'name': 'Dakx Flame'} 'mostUsedChampion': Ezreal
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1414678812000L, 'id': 7866, 'name': 'Brainfreeze'} 'mostUsedChampion': Jinx 
{'profileIconId': 25, 'summonerLevel': 30, 'revisionDate': 1414618746000L, 'id': 2045, 'name': 'Barsk'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 22, 'summonerLevel': 30, 'revisionDate': 1414476231000L, 'id': 31296, 'name': 'deathjester'} 'mostUsedChampion': Jinx 
{'profileIconId': 26, 'summonerLevel': 30, 'revisionDate': 1409837099000L, 'id': 8084, 'name': 'Fooey'} 'mostUsedChampion': Jinx 
{'profileIconId': 607, 'summonerLevel': 30, 'revisionDate': 1414540950000L, 'id': 61216, 'name': 'madsid'} 'mostUsedChampion': Jinx 
{'profileIconId': 24, 'summonerLevel': 30, 'revisionDate': 1415435638000L, 'id': 22391, 'name': 'Fawp'} 'mostUsedChampion': Xerath
 {'profileIconId': 512, 'summonerLevel': 30, 'revisionDate': 1415479771000L, 'id': 8070, 'name': 'Azubu Livingston'} 'mostUsedChampion': Riven
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1415952567000L, 'id': 9860, 'name': 'cptsmexypants'} 'mostUsedChampion': Ezreal
{'profileIconId': 547, 'summonerLevel': 30, 'revisionDate': 1415165328000L, 'id': 4695, 'name': 'Kantil The Grue'} 'mostUsedChampion': DrMundo
{'profileIconId': 654, 'summonerLevel': 30, 'revisionDate': 1416175534000L, 'id': 78412, 'name': 'Vaapaad'} 'mostUsedChampion': Sona
 {'profileIconId': 665, 'summonerLevel': 30, 'revisionDate': 1412738715000L, 'id': 66381, 'name': 'Conall'} 'mostUsedChampion': Riven
{'profileIconId': 18, 'summonerLevel': 30, 'revisionDate': 1413888136000L, 'id': 9743, 'name': 'Powersquad'} 'mostUsedChampion': Morgana 
{'profileIconId': 18, 'summonerLevel': 30, 'revisionDate': 1414023002000L, 'id': 71596, 'name': 'Kushrynada'} 'mostUsedChampion': Vayne
{'profileIconId': 715, 'summonerLevel': 30, 'revisionDate': 1415856530000L, 'id': 14926, 'name': 'Turbo'} 'mostUsedChampion': Varus
{'profileIconId': 710, 'summonerLevel': 30, 'revisionDate': 1414819003000L, 'id': 2915, 'name': 'SevenSevenSeven'} 'mostUsedChampion': FiddleSticks 
{'profileIconId': 578, 'summonerLevel': 30, 'revisionDate': 1411453482000L, 'id': 7540, 'name': 'Raigore'} 'mostUsedChampion': Varus
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1415422370000L, 'id': 76139, 'name': 'Busuzima'} 'mostUsedChampion': Varus
 {'profileIconId': 659, 'summonerLevel': 30, 'revisionDate': 1415940561000L, 'id': 1759, 'name': 'Flakdot'} 'mostUsedChampion': Riven
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1411095442000L, 'id': 2182, 'name': 'Sad Panda Shiba'} 'mostUsedChampion': Nocturne
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1394352744000L, 'id': 4712, 'name': 'Garddragon'} 'mostUsedChampion': Jinx 
{'profileIconId': 26, 'summonerLevel': 30, 'revisionDate': 1413691241000L, 'id': 3626, 'name': 'screamapillar'} 'mostUsedChampion': Varus
{'profileIconId': 535, 'summonerLevel': 30, 'revisionDate': 1414211526000L, 'id': 3827, 'name': 'Heyo'} 'mostUsedChampion': Vayne
{'profileIconId': 16, 'summonerLevel': 30, 'revisionDate': 1416218374000L, 'id': 75976, 'name': 'GreatWeelo'} 'mostUsedChampion': Varus
{'profileIconId': 712, 'summonerLevel': 30, 'revisionDate': 1416209092000L, 'id': 9453, 'name': 'Osyrus'} 'mostUsedChampion': Amumu
{'profileIconId': 505, 'summonerLevel': 30, 'revisionDate': 1404177514000L, 'id': 53028, 'name': 'Sprayed'} 'mostUsedChampion': Sona
{'profileIconId': 711, 'summonerLevel': 30, 'revisionDate': 1415856033000L, 'id': 304479, 'name': 'Dmc3321'} 'mostUsedChampion': Varus
{'profileIconId': 717, 'summonerLevel': 30, 'revisionDate': 1415992231000L, 'id': 3539, 'name': 'Ezul'} 'mostUsedChampion': Varus
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1415943130000L, 'id': 7414, 'name': 'Mozymandias'} 'mostUsedChampion': Sona
